feedback,satisfaction,improvement_score,User ID,Timestamp,Category,Feedback Sentiment,Customer Type,Response Time (hrs),Resolved Status,Resolution Time (days),Feedback Length,Engagement Score
Would recommend to friends!,3,3,U00228,2024-07-22 07:57:59.220849,Service,Positive,New User,33,Yes,14.0,27,5.16
Portion size could be larger.,4,4,U00229,2024-11-05 07:57:59.220851,Clothing,Negative,VIP User,26,Yes,25.0,29,3.02
Delicious and well-seasoned.,5,5,U00230,2024-05-16 07:57:59.220853,Electronics,Neutral,Returning User,23,Yes,12.0,28,6.09
"Very satisfying, good quality.",4,4,U00231,2024-06-26 07:57:59.220855,Service,Negative,New User,6,Yes,11.0,30,7.8
Great value for money.,3,5,U00232,2025-03-14 07:57:59.220857,Food,Positive,New User,51,No,,22,4.79
Could be less oily.,5,5,U00233,2024-05-11 07:57:59.220859,Service,Neutral,New User,39,Yes,10.0,19,5.95
"Very satisfying, good quality.",4,4,U00234,2024-08-22 07:57:59.220862,Food,Neutral,New User,1,No,,30,6.79
Would recommend to friends!,3,3,U00235,2024-07-28 07:57:59.220864,Software,Neutral,Returning User,60,No,,27,3.89
"Great taste, loved it!",4,1,U00236,2024-04-16 07:57:59.220866,Food,Positive,Returning User,58,No,,22,6.18
"Great taste, loved it!",4,1,U00237,2025-03-03 07:57:59.220868,Clothing,Positive,New User,3,Yes,11.0,22,2.53
Could be less oily.,5,5,U00238,2025-01-29 07:57:59.220870,Electronics,Positive,Returning User,54,No,,19,8.19
Portion size could be larger.,4,4,U00239,2024-07-23 07:57:59.220872,Food,Positive,New User,17,Yes,4.0,29,6.13
Would recommend to friends!,3,3,U00240,2024-09-09 07:57:59.220874,Food,Negative,New User,42,Yes,9.0,27,1.06
Could be less oily.,5,5,U00241,2024-04-05 07:57:59.220875,Food,Positive,Returning User,13,No,,19,1.07
Needs improvement in texture.,2,5,U00242,2024-05-19 07:57:59.220877,Electronics,Positive,VIP User,35,Yes,15.0,29,5.98
"Not as expected, needs improvement.",2,3,U00243,2025-01-09 07:57:59.220880,Service,Neutral,VIP User,23,No,,35,9.15
Could be less oily.,5,5,U00244,2024-11-16 07:57:59.220882,Electronics,Neutral,VIP User,68,No,,19,5.08
Perfect balance of flavors.,3,3,U00245,2025-01-30 07:57:59.220883,Food,Negative,Returning User,69,Yes,15.0,27,5.46
"Very satisfying, good quality.",4,4,U00246,2025-03-21 07:57:59.220885,Clothing,Neutral,VIP User,59,Yes,11.0,30,7.61
Lacked freshness.,4,4,U00247,2024-10-17 07:57:59.220887,Service,Negative,Returning User,26,No,,17,2.47
Too spicy for me.,5,3,U00248,2024-10-17 07:57:59.220889,Food,Neutral,Returning User,12,Yes,24.0,17,8.15
Portion size could be larger.,4,4,U00249,2024-09-11 07:57:59.220891,Software,Neutral,Returning User,35,Yes,20.0,29,7.82
Could be less oily.,5,5,U00250,2024-08-12 07:57:59.220893,Service,Positive,Returning User,49,No,,19,4.95
Would recommend to friends!,3,3,U00251,2025-02-13 07:57:59.220895,Electronics,Positive,New User,62,No,,27,6.01
"Amazing experience, will buy again.",2,5,U00252,2024-06-30 07:57:59.220897,Service,Positive,VIP User,32,No,,35,5.41
"Great taste, loved it!",4,1,U00253,2024-10-22 07:57:59.220899,Software,Neutral,New User,43,No,,22,7.96
Perfect balance of flavors.,3,3,U00254,2024-04-01 07:57:59.220901,Clothing,Neutral,Returning User,53,Yes,18.0,27,1.2
Delicious and well-seasoned.,5,5,U00255,2024-06-07 07:57:59.220903,Software,Negative,New User,28,Yes,19.0,28,4.8
Great value for money.,3,5,U00256,2024-09-15 07:57:59.220905,Clothing,Negative,VIP User,43,Yes,27.0,22,9.62
Too spicy for me.,5,3,U00257,2024-05-25 07:57:59.220907,Electronics,Positive,VIP User,62,No,,17,5.86
"Mild flavors, could be stronger.",5,1,U00258,2024-07-04 07:57:59.220909,Electronics,Positive,New User,19,No,,32,6.33
Portion size could be larger.,4,4,U00259,2024-12-09 07:57:59.220911,Electronics,Neutral,New User,8,No,,29,6.25
Lacked freshness.,4,4,U00260,2024-11-22 07:57:59.220913,Service,Positive,New User,63,No,,17,5.12
Too spicy for me.,5,3,U00261,2025-03-13 07:57:59.220915,Food,Negative,VIP User,31,No,,17,3.04
Could be less oily.,5,5,U00262,2024-09-19 07:57:59.220916,Food,Negative,New User,43,Yes,28.0,19,8.81
Needs improvement in texture.,2,5,U00263,2024-04-13 07:57:59.220918,Service,Neutral,Returning User,61,No,,29,9.41
"Great taste, loved it!",4,1,U00264,2024-08-29 07:57:59.220920,Software,Negative,Returning User,39,No,,22,9.13
Would recommend to friends!,3,3,U00265,2025-01-04 07:57:59.220922,Electronics,Neutral,New User,31,No,,27,1.4
"Great taste, loved it!",4,1,U00266,2024-10-06 07:57:59.220924,Clothing,Negative,New User,50,No,,22,2.75
Delicious and well-seasoned.,5,5,U00267,2024-08-14 07:57:59.220926,Software,Negative,VIP User,53,Yes,1.0,28,9.11
Needs improvement in texture.,2,5,U00268,2025-03-06 07:57:59.220929,Software,Neutral,VIP User,53,Yes,24.0,29,3.02
Great value for money.,3,5,U00269,2025-01-09 07:57:59.220932,Software,Negative,VIP User,38,No,,22,9.94
Would recommend to friends!,3,3,U00270,2024-04-27 07:57:59.220936,Clothing,Positive,VIP User,2,Yes,30.0,27,3.04
"Very satisfying, good quality.",4,4,U00271,2025-01-29 07:57:59.220939,Clothing,Neutral,New User,27,No,,30,9.39
Too salty for my preference.,1,5,U00272,2025-02-26 07:57:59.220943,Clothing,Positive,VIP User,45,No,,28,1.58
Perfect balance of flavors.,3,3,U00273,2024-10-17 07:57:59.220946,Clothing,Positive,VIP User,3,Yes,1.0,27,1.09
"Great taste, loved it!",4,1,U00274,2024-10-24 07:57:59.220949,Food,Positive,Returning User,16,No,,22,1.64
"Amazing experience, will buy again.",2,5,U00275,2025-02-16 07:57:59.221079,Clothing,Negative,Returning User,49,No,,35,5.64
"Great taste, loved it!",4,1,U00276,2025-01-23 07:57:59.221081,Food,Negative,Returning User,62,No,,22,3.08
Too spicy for me.,5,3,U00277,2025-02-07 07:57:59.221083,Electronics,Negative,Returning User,52,No,,17,4.4
"Great taste, loved it!",4,1,U00278,2024-12-18 07:57:59.221085,Software,Positive,Returning User,49,Yes,21.0,22,7.24
Portion size could be larger.,4,4,U00279,2025-02-09 07:57:59.221088,Software,Negative,VIP User,16,Yes,25.0,29,9.53
"Great taste, loved it!",4,1,U00280,2024-09-23 07:57:59.221090,Electronics,Positive,VIP User,37,Yes,4.0,22,3.38
Too salty for my preference.,1,5,U00281,2024-10-19 07:57:59.221092,Software,Neutral,New User,33,No,,28,8.28
Too salty for my preference.,1,5,U00282,2024-08-12 07:57:59.221094,Service,Neutral,VIP User,4,Yes,9.0,28,6.44
Great value for money.,3,5,U00283,2024-09-25 07:57:59.221096,Clothing,Negative,VIP User,9,Yes,20.0,22,8.19
Lacked freshness.,4,4,U00284,2024-07-17 07:57:59.221098,Service,Positive,Returning User,32,No,,17,2.68
"Very satisfying, good quality.",4,4,U00285,2024-08-30 07:57:59.221100,Software,Negative,VIP User,4,Yes,11.0,30,1.87
"Amazing experience, will buy again.",2,5,U00286,2024-08-10 07:57:59.221102,Food,Positive,VIP User,21,No,,35,7.46
"Great taste, loved it!",4,1,U00287,2025-03-07 07:57:59.221103,Food,Negative,New User,50,No,,22,8.36
"Great taste, loved it!",4,1,U00288,2024-08-29 07:57:59.221105,Food,Neutral,New User,53,No,,22,2.86
Perfect balance of flavors.,3,3,U00289,2025-02-25 07:57:59.221107,Food,Negative,New User,47,No,,27,7.26
Would recommend to friends!,3,3,U00290,2025-02-08 07:57:59.221109,Service,Negative,VIP User,26,No,,27,9.88
Too salty for my preference.,1,5,U00291,2024-05-29 07:57:59.221111,Electronics,Negative,New User,38,Yes,18.0,28,8.2
"Amazing experience, will buy again.",2,5,U00292,2025-03-02 07:57:59.221113,Electronics,Negative,New User,18,No,,35,5.18
Great value for money.,3,5,U00293,2024-12-30 07:57:59.221115,Software,Neutral,New User,40,Yes,7.0,22,4.44
Delicious and well-seasoned.,5,5,U00294,2024-06-02 07:57:59.221117,Electronics,Positive,Returning User,58,Yes,29.0,28,1.96
Lacked freshness.,4,4,U00295,2024-05-28 07:57:59.221119,Clothing,Positive,VIP User,29,No,,17,6.49
"Very satisfying, good quality.",4,4,U00296,2025-02-15 07:57:59.221121,Software,Negative,New User,36,No,,30,9.22
Needs improvement in texture.,2,5,U00297,2024-11-28 07:57:59.221123,Software,Negative,VIP User,21,No,,29,9.25
"Very satisfying, good quality.",4,4,U00298,2024-09-02 07:57:59.221125,Software,Neutral,New User,7,No,,30,6.25
Portion size could be larger.,4,4,U00299,2024-12-04 07:57:59.221127,Software,Negative,New User,19,No,,29,1.8
Too spicy for me.,5,3,U00300,2024-12-15 07:57:59.221129,Clothing,Neutral,New User,26,Yes,7.0,17,9.84
Portion size could be larger.,4,4,U00301,2024-05-03 07:57:59.221130,Clothing,Negative,New User,38,Yes,17.0,29,3.47
"Great taste, loved it!",4,1,U00302,2024-06-21 07:57:59.221132,Service,Negative,Returning User,37,No,,22,7.43
"Mild flavors, could be stronger.",5,1,U00303,2024-07-16 07:57:59.221135,Service,Neutral,New User,55,No,,32,6.28
Lacked freshness.,4,4,U00304,2025-03-12 07:57:59.221136,Electronics,Neutral,Returning User,18,Yes,10.0,17,4.09
Too spicy for me.,5,3,U00305,2024-06-07 07:57:59.221138,Software,Positive,New User,47,No,,17,3.73
"Amazing experience, will buy again.",2,5,U00306,2025-03-04 07:57:59.221140,Software,Neutral,VIP User,60,No,,35,5.7
Needs improvement in texture.,2,5,U00307,2024-08-13 07:57:59.221142,Electronics,Negative,VIP User,5,No,,29,3.25
Too salty for my preference.,1,5,U00308,2025-02-14 07:57:59.221144,Clothing,Neutral,Returning User,64,Yes,8.0,28,6.84
Lacked freshness.,4,4,U00309,2024-09-04 07:57:59.221146,Electronics,Positive,VIP User,40,No,,17,3.7
Lacked freshness.,4,4,U00310,2024-05-29 07:57:59.221149,Food,Negative,Returning User,68,Yes,11.0,17,8.49
Portion size could be larger.,4,4,U00311,2024-11-17 07:57:59.221152,Software,Negative,Returning User,3,No,,29,3.46
"Mild flavors, could be stronger.",5,1,U00312,2024-07-13 07:57:59.221153,Electronics,Neutral,New User,54,No,,32,6.82
"Great taste, loved it!",4,1,U00313,2024-09-07 07:57:59.221155,Service,Positive,New User,68,Yes,7.0,22,2.06
Could be less oily.,5,5,U00314,2024-09-19 07:57:59.221157,Clothing,Positive,Returning User,35,Yes,9.0,19,1.15
Great value for money.,3,5,U00315,2025-03-18 07:57:59.221159,Clothing,Positive,Returning User,57,Yes,15.0,22,6.5
Portion size could be larger.,4,4,U00316,2025-03-15 07:57:59.221161,Service,Negative,VIP User,71,Yes,25.0,29,4.84
Lacked freshness.,4,4,U00317,2025-02-28 07:57:59.221163,Service,Positive,VIP User,49,No,,17,7.2
"Not as expected, needs improvement.",2,3,U00318,2024-11-18 07:57:59.221165,Food,Neutral,Returning User,48,No,,35,1.19
Perfect balance of flavors.,3,3,U00319,2024-10-13 07:57:59.221166,Service,Positive,VIP User,34,No,,27,4.63
Needs improvement in texture.,2,5,U00320,2024-06-03 07:57:59.221168,Service,Positive,New User,17,Yes,2.0,29,6.66
Great value for money.,3,5,U00321,2024-11-18 07:57:59.221171,Food,Positive,Returning User,61,Yes,27.0,22,9.44
Portion size could be larger.,4,4,U00322,2025-02-22 07:57:59.221173,Food,Neutral,New User,42,No,,29,1.07
Needs improvement in texture.,2,5,U00323,2025-02-22 07:57:59.221174,Clothing,Negative,VIP User,5,Yes,4.0,29,1.62
Perfect balance of flavors.,3,3,U00324,2024-06-05 07:57:59.221176,Food,Neutral,New User,65,No,,27,6.28
Delicious and well-seasoned.,5,5,U00325,2025-01-01 07:57:59.221178,Clothing,Positive,New User,61,No,,28,1.1
Perfect balance of flavors.,3,3,U00326,2025-03-18 07:57:59.221180,Clothing,Negative,Returning User,34,Yes,9.0,27,3.49
"Mild flavors, could be stronger.",5,1,U00327,2024-08-07 07:57:59.221182,Clothing,Neutral,New User,70,Yes,12.0,32,2.33
Perfect balance of flavors.,3,3,U00328,2024-11-27 07:57:59.221185,Electronics,Positive,Returning User,61,Yes,14.0,27,7.14
Needs improvement in texture.,2,5,U00329,2024-04-22 07:57:59.221187,Software,Neutral,Returning User,66,Yes,13.0,29,9.12
"Very satisfying, good quality.",4,4,U00330,2025-02-08 07:57:59.221189,Service,Positive,Returning User,9,No,,30,6.12
Needs improvement in texture.,2,5,U00331,2024-12-30 07:57:59.221191,Clothing,Positive,Returning User,16,No,,29,2.5
Could be less oily.,5,5,U00332,2024-10-11 07:57:59.221193,Service,Negative,Returning User,24,No,,19,1.94
"Great taste, loved it!",4,1,U00333,2024-06-02 07:57:59.221195,Food,Negative,VIP User,23,No,,22,1.7
Too spicy for me.,5,3,U00334,2024-03-23 07:57:59.221197,Electronics,Neutral,VIP User,8,Yes,16.0,17,4.23
"Very satisfying, good quality.",4,4,U00335,2024-07-10 07:57:59.221199,Electronics,Negative,New User,47,No,,30,8.11
Too salty for my preference.,1,5,U00336,2024-10-25 07:57:59.221201,Clothing,Positive,Returning User,69,Yes,12.0,28,3.72
Too spicy for me.,5,3,U00337,2024-07-19 07:57:59.221203,Food,Neutral,New User,67,Yes,30.0,17,4.62
"Great taste, loved it!",4,1,U00338,2024-11-20 07:57:59.221205,Software,Positive,Returning User,54,Yes,5.0,22,2.13
Portion size could be larger.,4,4,U00339,2024-11-12 07:57:59.221207,Software,Negative,New User,34,No,,29,2.5
Great value for money.,3,5,U00340,2025-02-03 07:57:59.221208,Food,Positive,Returning User,27,No,,22,4.62
Could be less oily.,5,5,U00341,2024-12-28 07:57:59.221210,Service,Positive,New User,43,No,,19,9.71
Could be less oily.,5,5,U00342,2024-11-16 07:57:59.221212,Food,Negative,VIP User,50,Yes,29.0,19,2.0
Too salty for my preference.,1,5,U00343,2024-03-28 07:57:59.221214,Software,Neutral,Returning User,3,Yes,7.0,28,6.32
"Very satisfying, good quality.",4,4,U00344,2024-04-09 07:57:59.221216,Food,Neutral,VIP User,38,No,,30,4.26
"Mild flavors, could be stronger.",5,1,U00345,2024-05-30 07:57:59.221218,Software,Negative,New User,25,No,,32,3.6
Would recommend to friends!,3,3,U00346,2024-04-10 07:57:59.221220,Food,Negative,Returning User,11,No,,27,8.53
Delicious and well-seasoned.,5,5,U00347,2024-12-10 07:57:59.221222,Software,Positive,New User,49,No,,28,3.11
Perfect balance of flavors.,3,3,U00348,2024-06-15 07:57:59.221224,Service,Neutral,VIP User,12,Yes,12.0,27,5.52
"Very satisfying, good quality.",4,4,U00349,2024-09-23 07:57:59.221226,Electronics,Neutral,New User,62,No,,30,1.55
Great value for money.,3,5,U00350,2024-05-11 07:57:59.221228,Service,Neutral,Returning User,53,No,,22,8.72
Delicious and well-seasoned.,5,5,U00351,2024-06-06 07:57:59.221230,Food,Positive,New User,44,Yes,18.0,28,8.21
Could be less oily.,5,5,U00352,2025-03-15 07:57:59.221232,Food,Positive,Returning User,21,Yes,9.0,19,5.62
Needs improvement in texture.,2,5,U00353,2024-10-11 07:57:59.221234,Software,Negative,Returning User,30,Yes,9.0,29,8.4
Great value for money.,3,5,U00354,2025-01-16 07:57:59.221237,Service,Negative,VIP User,10,No,,22,6.37
"Great taste, loved it!",4,1,U00355,2024-12-24 07:57:59.221239,Electronics,Neutral,New User,64,No,,22,5.19
Too salty for my preference.,1,5,U00356,2024-04-09 07:57:59.221241,Software,Neutral,Returning User,17,Yes,2.0,28,4.04
"Great taste, loved it!",4,1,U00357,2024-04-05 07:57:59.221243,Software,Negative,Returning User,67,Yes,19.0,22,2.52
Would recommend to friends!,3,3,U00358,2024-11-16 07:57:59.221245,Software,Negative,Returning User,53,No,,27,3.85
Great value for money.,3,5,U00359,2024-12-23 07:57:59.221247,Electronics,Positive,VIP User,45,Yes,29.0,22,6.05
"Amazing experience, will buy again.",2,5,U00360,2024-12-10 07:57:59.221249,Clothing,Positive,VIP User,9,Yes,22.0,35,5.16
"Amazing experience, will buy again.",2,5,U00361,2024-10-31 07:57:59.221251,Clothing,Neutral,New User,52,No,,35,9.53
Portion size could be larger.,4,4,U00362,2024-11-21 07:57:59.221253,Software,Positive,VIP User,55,No,,29,7.46
"Very satisfying, good quality.",4,4,U00363,2024-05-18 07:57:59.221255,Electronics,Positive,New User,20,Yes,11.0,30,1.95
Could be less oily.,5,5,U00364,2024-05-29 07:57:59.221257,Electronics,Neutral,New User,67,Yes,11.0,19,3.87
Could be less oily.,5,5,U00365,2024-04-17 07:57:59.221259,Service,Neutral,VIP User,61,Yes,11.0,19,1.33
Perfect balance of flavors.,3,3,U00366,2024-04-14 07:57:59.221261,Electronics,Positive,Returning User,1,Yes,3.0,27,4.87
Perfect balance of flavors.,3,3,U00367,2024-04-21 07:57:59.221263,Service,Negative,VIP User,26,No,,27,7.94
Perfect balance of flavors.,3,3,U00368,2025-01-28 07:57:59.221265,Clothing,Negative,VIP User,35,Yes,21.0,27,9.23
Needs improvement in texture.,2,5,U00369,2024-03-25 07:57:59.221267,Service,Negative,New User,71,Yes,26.0,29,3.18
Too spicy for me.,5,3,U00370,2024-07-06 07:57:59.221269,Clothing,Negative,Returning User,47,No,,17,1.56
Lacked freshness.,4,4,U00371,2024-10-05 07:57:59.221272,Software,Positive,New User,58,Yes,26.0,17,9.69
Too spicy for me.,5,3,U00372,2025-02-24 07:57:59.221275,Clothing,Neutral,VIP User,56,Yes,20.0,17,4.25
"Great taste, loved it!",4,1,U00373,2025-03-02 07:57:59.221278,Clothing,Neutral,New User,68,No,,22,5.75
Too spicy for me.,5,3,U00374,2024-06-05 07:57:59.221281,Electronics,Neutral,New User,9,Yes,23.0,17,8.4
Needs improvement in texture.,2,5,U00375,2024-03-23 07:57:59.221285,Food,Neutral,New User,18,Yes,26.0,29,6.85
Portion size could be larger.,4,4,U00376,2025-03-23 07:57:59.221288,Food,Positive,Returning User,45,Yes,24.0,29,4.69
"Great taste, loved it!",4,1,U00377,2025-03-14 07:57:59.221291,Electronics,Positive,VIP User,8,Yes,5.0,22,5.92
Too spicy for me.,5,3,U00378,2024-06-24 07:57:59.221294,Service,Negative,VIP User,11,No,,17,8.49
Needs improvement in texture.,2,5,U00379,2024-05-24 07:57:59.221297,Service,Positive,New User,9,Yes,15.0,29,8.63
Lacked freshness.,4,4,U00380,2024-09-22 07:57:59.221300,Electronics,Positive,New User,30,No,,17,4.82
Too spicy for me.,5,3,U00381,2024-03-23 07:57:59.221304,Clothing,Negative,Returning User,34,No,,17,8.67
Needs improvement in texture.,2,5,U00382,2024-07-14 07:57:59.221307,Clothing,Positive,New User,25,No,,29,1.1
Would recommend to friends!,3,3,U00383,2024-10-26 07:57:59.221311,Software,Negative,VIP User,57,No,,27,6.7
Perfect balance of flavors.,3,3,U00384,2024-06-06 07:57:59.221314,Electronics,Neutral,VIP User,29,No,,27,8.03
Would recommend to friends!,3,3,U00385,2024-12-03 07:57:59.221324,Clothing,Neutral,VIP User,39,No,,27,1.87
Could be less oily.,5,5,U00386,2024-12-15 07:57:59.221326,Clothing,Negative,VIP User,30,No,,19,8.58
Perfect balance of flavors.,3,3,U00387,2024-07-12 07:57:59.221328,Food,Positive,Returning User,2,No,,27,3.09
Could be less oily.,5,5,U00388,2024-11-08 07:57:59.221329,Food,Negative,VIP User,41,Yes,30.0,19,6.15
"Not as expected, needs improvement.",2,3,U00389,2024-06-06 07:57:59.221331,Electronics,Negative,New User,44,Yes,10.0,35,9.7
Too salty for my preference.,1,5,U00390,2025-02-09 07:57:59.221334,Clothing,Positive,VIP User,16,Yes,20.0,28,6.07
Would recommend to friends!,3,3,U00391,2025-02-15 07:57:59.221336,Clothing,Positive,New User,64,Yes,29.0,27,6.12
Too salty for my preference.,1,5,U00392,2024-09-18 07:57:59.221338,Software,Negative,VIP User,5,No,,28,4.87
Too salty for my preference.,1,5,U00393,2024-10-29 07:57:59.221340,Electronics,Negative,New User,13,Yes,15.0,28,7.83
Lacked freshness.,4,4,U00394,2024-05-14 07:57:59.221342,Service,Positive,Returning User,16,Yes,7.0,17,4.1
Perfect balance of flavors.,3,3,U00395,2025-01-09 07:57:59.221344,Food,Positive,Returning User,52,No,,27,1.38
"Not as expected, needs improvement.",2,3,U00396,2024-03-24 07:57:59.221346,Food,Positive,Returning User,45,Yes,20.0,35,9.38
Could be less oily.,5,5,U00397,2025-01-08 07:57:59.221348,Software,Negative,New User,12,No,,19,9.53
Needs improvement in texture.,2,5,U00398,2024-06-02 07:57:59.221349,Food,Positive,New User,46,No,,29,6.53
"Great taste, loved it!",4,1,U00399,2024-04-18 07:57:59.221351,Service,Neutral,VIP User,56,Yes,8.0,22,5.59
Needs improvement in texture.,2,5,U00400,2024-06-14 07:57:59.221353,Service,Neutral,VIP User,2,No,,29,1.12
"Great taste, loved it!",4,1,U00401,2024-09-25 07:57:59.221355,Software,Negative,New User,3,Yes,13.0,22,1.97
Would recommend to friends!,3,3,U00402,2024-09-25 07:57:59.221359,Service,Positive,Returning User,18,No,,27,1.06
"Amazing experience, will buy again.",2,5,U00403,2024-06-23 07:57:59.221361,Food,Positive,New User,3,No,,35,7.22
Needs improvement in texture.,2,5,U00404,2024-05-17 07:57:59.221363,Software,Neutral,Returning User,42,No,,29,6.41
Too spicy for me.,5,3,U00405,2024-10-19 07:57:59.221365,Food,Positive,Returning User,68,Yes,26.0,17,6.96
Too spicy for me.,5,3,U00406,2024-06-07 07:57:59.221367,Food,Neutral,Returning User,18,No,,17,3.65
"Very satisfying, good quality.",4,4,U00407,2024-08-09 07:57:59.221369,Food,Positive,New User,69,Yes,29.0,30,2.26
Perfect balance of flavors.,3,3,U00408,2024-11-16 07:57:59.221371,Electronics,Positive,VIP User,22,Yes,5.0,27,3.5
"Great taste, loved it!",4,1,U00409,2024-09-24 07:57:59.221373,Service,Positive,VIP User,29,Yes,28.0,22,9.75
"Great taste, loved it!",4,1,U00410,2024-10-21 07:57:59.221375,Food,Neutral,Returning User,37,Yes,18.0,22,2.2
Great value for money.,3,5,U00411,2024-08-07 07:57:59.221376,Electronics,Negative,Returning User,30,Yes,11.0,22,1.59
Portion size could be larger.,4,4,U00412,2024-06-14 07:57:59.221378,Clothing,Neutral,VIP User,54,No,,29,1.57
Perfect balance of flavors.,3,3,U00413,2024-06-01 07:57:59.221380,Software,Negative,New User,67,No,,27,6.09
Lacked freshness.,4,4,U00414,2024-11-09 07:57:59.221382,Service,Neutral,VIP User,64,No,,17,1.61
"Very satisfying, good quality.",4,4,U00415,2025-01-18 07:57:59.221384,Clothing,Negative,VIP User,46,Yes,11.0,30,6.07
Lacked freshness.,4,4,U00416,2024-04-16 07:57:59.221386,Electronics,Negative,Returning User,25,Yes,21.0,17,3.82
Would recommend to friends!,3,3,U00417,2024-12-24 07:57:59.221388,Clothing,Negative,New User,28,No,,27,5.76
Would recommend to friends!,3,3,U00418,2025-03-07 07:57:59.221390,Clothing,Positive,Returning User,7,Yes,27.0,27,2.19
Lacked freshness.,4,4,U00419,2024-10-10 07:57:59.221392,Service,Positive,Returning User,24,Yes,22.0,17,3.59
Lacked freshness.,4,4,U00420,2024-05-02 07:57:59.221394,Electronics,Neutral,VIP User,63,Yes,22.0,17,2.51
"Not as expected, needs improvement.",2,3,U00421,2024-07-05 07:57:59.221396,Software,Positive,VIP User,39,Yes,10.0,35,7.58
Perfect balance of flavors.,3,3,U00422,2024-08-19 07:57:59.221398,Clothing,Positive,Returning User,36,Yes,30.0,27,4.17
Lacked freshness.,4,4,U00423,2025-01-26 07:57:59.221400,Food,Neutral,New User,63,Yes,8.0,17,8.63
Too spicy for me.,5,3,U00424,2024-04-15 07:57:59.221402,Service,Neutral,Returning User,30,No,,17,4.27
Portion size could be larger.,4,4,U00425,2024-08-04 07:57:59.221404,Electronics,Positive,Returning User,60,No,,29,7.25
Portion size could be larger.,4,4,U00426,2025-03-17 07:57:59.221405,Service,Negative,Returning User,21,Yes,5.0,29,8.68
Too salty for my preference.,1,5,U00427,2024-08-06 07:57:59.221407,Electronics,Positive,Returning User,63,Yes,5.0,28,7.04
"Amazing experience, will buy again.",2,5,U00428,2024-12-10 07:57:59.221409,Software,Negative,New User,58,Yes,30.0,35,6.0
Would recommend to friends!,3,3,U00429,2024-08-09 07:57:59.221411,Clothing,Negative,VIP User,8,Yes,9.0,27,6.43
"Great taste, loved it!",4,1,U00430,2024-05-29 07:57:59.221413,Clothing,Neutral,VIP User,50,No,,22,9.15
Great value for money.,3,5,U00431,2024-09-05 07:57:59.221415,Service,Positive,New User,42,Yes,21.0,22,2.94
"Mild flavors, could be stronger.",5,1,U00432,2025-01-14 07:57:59.221417,Clothing,Positive,New User,60,Yes,14.0,32,1.82
"Great taste, loved it!",4,1,U00433,2024-05-07 07:57:59.221419,Food,Negative,VIP User,9,Yes,22.0,22,1.13
"Amazing experience, will buy again.",2,5,U00434,2024-10-13 07:57:59.221421,Food,Positive,Returning User,35,No,,35,6.11
Great value for money.,3,5,U00435,2024-05-30 07:57:59.221423,Food,Positive,VIP User,61,Yes,2.0,22,7.32
"Not as expected, needs improvement.",2,3,U00436,2024-08-25 07:57:59.221425,Clothing,Positive,New User,35,No,,35,9.22
Perfect balance of flavors.,3,3,U00437,2024-04-23 07:57:59.221427,Food,Neutral,Returning User,8,No,,27,4.69
Needs improvement in texture.,2,5,U00438,2024-11-20 07:57:59.221429,Clothing,Negative,New User,3,No,,29,9.09
Perfect balance of flavors.,3,3,U00439,2025-01-07 07:57:59.221431,Electronics,Negative,New User,51,No,,27,1.27
"Great taste, loved it!",4,1,U00440,2025-03-22 07:57:59.221433,Food,Negative,VIP User,20,Yes,25.0,22,3.31
"Great taste, loved it!",4,1,U00441,2024-12-15 07:57:59.221438,Electronics,Negative,New User,33,No,,22,2.11
Great value for money.,3,5,U00442,2025-03-05 07:57:59.221441,Clothing,Positive,Returning User,31,Yes,6.0,22,7.74
Great value for money.,3,5,U00443,2024-08-22 07:57:59.221444,Food,Neutral,Returning User,16,No,,22,1.19
Would recommend to friends!,3,3,U00444,2024-10-26 07:57:59.221447,Clothing,Positive,New User,25,Yes,11.0,27,3.95
"Not as expected, needs improvement.",2,3,U00445,2024-09-29 07:57:59.221450,Software,Negative,VIP User,1,No,,35,4.46
Would recommend to friends!,3,3,U00446,2024-03-27 07:57:59.221454,Food,Neutral,New User,71,No,,27,2.34
"Amazing experience, will buy again.",2,5,U00447,2024-03-28 07:57:59.221457,Food,Neutral,VIP User,65,Yes,20.0,35,3.69
Lacked freshness.,4,4,U00448,2024-10-18 07:57:59.221460,Service,Positive,New User,33,No,,17,3.36
Perfect balance of flavors.,3,3,U00449,2024-11-02 07:57:59.221463,Food,Negative,VIP User,2,No,,27,5.01
Great value for money.,3,5,U00450,2025-03-11 07:57:59.221466,Clothing,Negative,VIP User,28,Yes,6.0,22,7.38
Could be less oily.,5,5,U00451,2024-07-10 07:57:59.221470,Food,Neutral,VIP User,23,No,,19,3.64
"Amazing experience, will buy again.",2,5,U00452,2024-12-23 07:57:59.221473,Food,Positive,New User,51,No,,35,1.26
Too spicy for me.,5,3,U00453,2024-04-08 07:57:59.221477,Electronics,Negative,VIP User,36,No,,17,1.93
"Not as expected, needs improvement.",2,3,U00454,2024-10-22 07:57:59.221479,Food,Positive,New User,7,Yes,26.0,35,4.29
"Great taste, loved it!",4,1,U00455,2024-09-20 07:57:59.221481,Electronics,Neutral,New User,38,No,,22,3.97
Would recommend to friends!,3,3,U00456,2024-11-07 07:57:59.221484,Software,Negative,VIP User,37,Yes,30.0,27,9.62
"Amazing experience, will buy again.",2,5,U00457,2024-07-28 07:57:59.221487,Software,Positive,New User,67,No,,35,7.71
